#          p        sig_p         v          bv       sig_bv
#
        12.9        0.49        6.49        0.12       0.015
       16.32        0.99        9.49       0.739       0.003
       11.19        0.59        8.14       0.529       0.007
       10.08        0.88        8.25       0.445       0.015
       11.82        0.82        9.42       0.668       0.025
       18.57        0.61        7.67       0.536       0.007
       12.36        0.64        7.89        0.46       0.003
       20.61        0.73        7.99        0.68       0.012
       11.93        0.88        8.53       0.524       0.012
       17.22        0.65        6.67       0.449       0.016
       12.31        0.72        8.13       0.414        0.01
       25.74        0.62        6.86       0.447       0.006
       14.81        0.68        7.58        0.46       0.003
       18.97         0.7        7.55       0.511       0.006
       10.96        0.69        7.83       0.389       0.016
       10.55        0.98         7.9         0.5       0.009
        11.3        0.88        8.26       0.501       0.004
       14.05        0.68        7.34       0.486       0.003
        11.6        0.81        8.14       0.413       0.004
       13.44         0.6        7.34       0.518       0.007
       11.48        0.85        9.73       0.699       0.004
       17.16        0.97        8.86       0.665       0.016
       11.66        0.72        8.28       0.417       0.014
       10.86        0.83        8.57       0.468       0.001
       13.64         0.5        5.19       0.013       0.004
       15.31        0.93        8.77        0.62       0.015
       10.29        0.89        8.17       0.684       0.015
       33.48        0.67        6.67       0.544       0.004
       12.94        0.62        6.45       0.077       0.005
       22.09        0.71        8.13        0.71       0.015
       13.27        0.61        7.87         0.5       0.006
       10.58        0.78        8.57       0.445       0.004
       10.28        0.97        9.47        0.68       0.043
       10.52        0.76         8.7       0.427       0.014
       10.34        0.63        6.65       0.051       0.004
       12.27        0.91         7.8       0.546       0.007
       11.43        0.49        5.51      -0.024       0.002
       82.61        0.57         4.9       0.555       0.016
       11.18        0.85         8.5       0.526       0.015
       10.65        0.63        6.63       0.262       0.005
       10.75        0.98        8.49       0.561       0.015
       18.25        0.88         6.9       0.733       0.004
       10.27        0.86        8.58       0.613       0.013
       18.17        0.56        7.42       0.633       0.009
       18.55        0.65        7.71       0.595       0.011
       19.15        0.57        7.57       0.595       0.011
       14.21        0.96         7.8       0.536       0.007
       23.09        0.62        7.86        0.65       0.015
       10.11        0.78        8.73       0.569       0.015
       11.66        0.73        8.51        0.59       0.002
       28.22        0.98        7.89       0.648       0.006
       13.13        0.84        8.47       0.546       0.012
       14.78        0.84        8.71       0.602       0.016
       16.27        0.56        6.91       0.513       0.007
       33.89        0.79        8.27       0.863       0.012
        28.2        0.68        6.99       0.553       0.007
       13.35        0.69        8.44       0.664       0.002
       12.43         0.6        7.88       0.463       0.001
       18.19        0.77        6.72        0.51       0.003
       10.65        0.51         5.5      -0.046       0.002
       15.34        0.92        9.32       0.724       0.026
        11.8        0.65         8.2       0.435       0.012
       14.48        0.79        8.56        0.63       0.016
       10.36        0.89        8.72       0.511       0.015
       13.44        0.75        8.81       0.553       0.018
       16.59        0.98        7.85       0.559       0.007
       10.12        0.86        7.87        0.38       0.001
       16.86        0.77        8.72       0.715       0.002
       25.45         0.5        5.96       0.415       0.004
       12.09        0.75        8.51       0.567       0.014
       10.57        0.54        5.89       -0.08       0.001
       12.67        0.98        8.31        0.53        0.01
       24.02        0.95        9.27       0.787       0.033
       14.92        0.59         7.6        0.45       0.015
       15.86        0.66        7.17       0.553       0.006
       11.54        0.99        9.64       0.587       0.033
       10.13        0.69        7.69       0.406       0.015
       14.55        0.84        8.75       0.594       0.015
       17.19        0.75        7.35       0.455       0.003
       33.07        0.69         7.1       0.595       0.003
       31.54        0.83        8.63       0.892       0.005
       22.35        0.95        8.69       0.753       0.002
       10.79        0.67        7.35        0.13       0.015
       10.06        0.85        8.99       0.533       0.019
       13.61        0.76        8.64       0.611       0.001
       11.47        0.95        9.45       0.661       0.003
       18.84        0.62        7.07       0.508       0.006
       13.65        0.68        7.55       0.471       0.009
       11.78        0.48        5.06      -0.072       0.004
       14.07        0.86        9.16       0.655       0.023
       12.99        0.94        8.99       0.585       0.017
       10.21        0.86        8.97       0.655       0.023
       13.71        0.81        8.23        0.47        0.01
       15.54        0.81        9.17       0.655       0.002
       17.65        0.78        5.89       0.553       0.004
       20.53        0.63        7.43       0.467       0.007
       36.05        0.68        8.27       0.781       0.014
       29.83         0.6        5.38       0.415       0.015
       17.85        0.52        2.87       0.014       0.008
        24.1        0.51        4.08       0.034       0.006
       12.42        0.66        7.72        0.51       0.006
       12.99        0.76        8.67       0.619       0.016
        22.9        0.93        8.57       0.695       0.015
       13.75        0.93        9.36        0.64       0.023
       34.63         0.8        7.59       0.701       0.003
       10.39        0.68        8.24       0.549       0.012
       28.44        0.87        7.53         0.6       0.008
       48.86        0.81        6.98       0.723       0.008
          12        0.62        6.36       0.101       0.002
          18        0.75        8.63       0.668       0.023
       10.48        0.65        3.04      -0.178       0.005
       11.01        0.99        9.34       0.624        0.02
       18.16        0.85        7.64       0.546       0.003
       14.39        0.58        8.08       0.656       0.022
       18.02        0.51        6.81       0.615       0.003
       13.93        0.82        7.54       0.548       0.003
       22.49        0.72        6.99       0.585       0.006
       14.46         0.9        8.85       0.618       0.003
       18.13        0.69        5.95       0.159       0.004
        35.5        0.66        6.03       0.506       0.012
       11.33        0.62        7.72       0.473       0.007
       19.33        0.59        7.68       0.711       0.003
       62.48        0.82        8.49       1.076       0.018
       11.82        0.95        8.24       0.686       0.015
       10.09        0.72        8.43       0.541       0.013
       66.36        0.95        8.29       1.201           0
       11.96        0.72         8.1       0.501       0.015
          26        0.68        8.12       0.678       0.002
       13.92        0.63        7.98       0.664       0.012
       12.02        0.77        8.94       0.587       0.019
       15.59        0.86        8.51       0.635       0.004
       22.96         0.6        5.56       0.208       0.004
       10.52        0.79        8.91       0.696       0.018
        12.4        0.97           8       0.509       0.009
       20.44        0.59        7.48       0.521       0.001
        13.9        0.81        8.37       0.557       0.008
       10.21        0.72        8.24       0.432       0.012
       56.45        0.74        6.07       0.648       0.006
       18.84        0.74        6.91       0.558       0.001
       10.67        0.89        8.07       0.432       0.001
       15.04        0.72        8.32        0.57       0.004
       16.27        0.59        7.68       0.559       0.007
          13        0.76        8.99       0.608       0.018
       12.85        0.84        7.51       0.541       0.001
       12.44        0.84        8.86       0.558       0.016
       17.24        0.53        6.03       0.133       0.005
       11.65         0.8        8.54       0.551       0.015
       16.46        0.72        8.71        0.61       0.016
       16.75        0.66        8.16       0.745        0.01
       22.72        0.76        6.49       0.505       0.003
       18.36        0.59        6.23       0.542       0.024
       12.17        0.54         5.9       0.012       0.002
        14.1        0.91        9.08       0.612       0.018
       20.71        0.61        6.73       0.446       0.004
       11.28        0.79         8.3       0.524       0.015
       19.31        0.76        8.26       0.593       0.012
        10.6        0.93        9.43       0.588       0.023
       13.64        0.75        8.82        0.56       0.015
       13.97        0.86         9.1       0.558       0.022
       24.18        0.84         8.4       0.693       0.014
       10.92        0.81        7.61       0.329       0.013
       22.05        0.79        7.29        0.59       0.005
       13.01        0.63        5.96       0.352       0.004
       15.87        0.67        7.21       0.525       0.006
       11.75        0.84        9.26       0.739       0.026
       11.75        0.87        7.62       0.618       0.007
        14.5        0.86        9.05       0.589       0.019
        25.4        0.83        8.86        0.88       0.015
       10.71        0.62        7.39       0.432       0.015
       18.15        0.77        7.75       0.519       0.015
       57.88        0.58        7.18       0.872       0.002
       12.66        0.93        9.28       0.511       0.002
       38.66        0.62        6.64       0.589       0.001
       12.67        0.66         8.4       0.494       0.013
       10.91        0.87        7.98        0.47       0.004
       13.55        0.97        8.28       0.597       0.013
        10.1        0.58         6.2      -0.041       0.002
       16.49        0.46        6.03       0.217       0.004
       25.18         0.8        8.21       0.613       0.009
       22.48        0.46        4.34       0.217       0.009
       28.92        0.81        6.36       0.451       0.006
       26.17        0.94        8.43        0.74       0.014
       16.91        0.53        7.33       0.464       0.008
       14.22        0.53           6       0.091       0.004
       45.76        0.56        6.55       0.655       0.006
       21.17        0.84        7.68       0.576       0.015
       12.88        0.56         7.3       0.443       0.003
       15.94         0.8        7.89       0.511       0.015
       24.59        0.51        5.38       0.515       0.003
       14.86        0.61         7.3       0.423       0.001
       17.41        0.84        7.82       0.528       0.006
       11.08        0.85        9.08       0.669        0.02
       16.76        0.87        8.05       0.476       0.001
       108.5        0.59        4.21       0.494        0.02
       12.85        0.79        7.67       0.397       0.003
       20.46        0.84        8.83       0.761       0.019
       29.04        0.71        8.79       0.846        0.02
       12.01        0.89         7.7       0.596       0.003
       17.84         0.6        7.77       0.554       0.015
       15.26        0.57        7.03       0.431       0.005
       14.12        0.79        8.84       0.651       0.021
       10.14        0.86        8.41       0.819       0.025
       16.14        0.97        8.61       0.676       0.009
       14.45        0.66        5.71       0.268       0.004
       13.43        0.71        6.98       0.351       0.004
        17.4        0.92        8.04       0.563        0.01
       13.17        0.85        8.75       0.499       0.017
       15.97         0.7         8.6       0.594       0.015
       11.28        0.67           8        0.47       0.004
       14.92        0.93        9.15       0.678       0.024
       11.89        0.87        8.85       0.496       0.019
       12.21        0.63        4.51      -0.029       0.001
       12.04        0.55        6.55       0.092       0.003
       14.72        0.58        7.23       0.455       0.009
       11.06        0.64        8.17       0.465       0.015
       34.21        0.68        4.78       0.199       0.005
       11.86        0.86        9.39       0.592       0.025
       11.02        0.61        8.16       0.457       0.012
       11.12        0.87        8.64       0.511       0.015
       10.66        0.97        9.56       0.597       0.027
       16.09        0.63        6.81       0.465       0.007
       11.18        0.87        5.66       0.042       0.006
       11.09        0.88        9.36        0.58       0.025
       13.85         0.7        8.89       0.549       0.017
       13.72        0.89        8.02       0.457       0.009
       21.34        0.75        8.07       0.606       0.015
       10.52        0.64        6.64       0.006       0.004
       11.73        0.98         8.1        0.37       0.009
       10.78        0.72        7.89       0.637       0.006
       10.43        0.62         7.6       0.461       0.015
       15.88         0.8        7.65       0.486       0.008
       15.15        0.65        8.29       0.565       0.012
       20.21        0.84         8.8       0.672       0.017
        11.2        0.62        8.04       0.521       0.015
       20.53        0.51           5        0.06       0.003
       43.12         0.5        6.37       0.636       0.003
       13.55        0.86        7.75       0.453       0.006
       10.86        0.96         8.9       0.535       0.017
       10.38        0.51        5.22      -0.082       0.002
       18.99         0.7        7.49       0.518       0.007
       17.84        0.83        9.57       0.752       0.003
       18.41        0.79        7.98       0.562       0.009
       11.68        0.66        8.33       0.695       0.014
       25.93        0.69        6.99       0.537        0.01
       36.46        0.51        5.18       0.495       0.007
       11.07         0.8        7.99       0.559       0.011
       12.73        0.95        8.17       0.475       0.001
       43.64        0.72        6.17       0.584       0.004
        17.5        0.78        7.22       0.634       0.003
        21.8         0.9        7.37       0.573       0.008
       11.97        0.71         7.6       0.588       0.001
       18.11        0.73        8.52        0.65       0.015
       27.44        0.85        7.26       0.595       0.008
       34.04        0.86        8.55       0.854       0.006
       13.59        0.66        7.91       0.659       0.011
        28.1        0.69        7.97       0.672       0.012
       10.38        0.81        8.05       0.383       0.004
       10.27        0.81        8.37       0.446       0.015
       20.22        0.77        7.16       0.594       0.001
        10.4        0.79         7.7        0.42       0.003
       24.42        0.68        7.46       0.537       0.008
       10.31        0.72        8.75        0.45       0.017
       16.81        0.62        7.78       0.515       0.015
       11.57        0.68        8.32        0.44       0.015
       12.22        0.91        7.84       0.533       0.008
       50.02        0.95        9.08       1.255        0.01
       11.61        0.74        7.33       0.495       0.001
       10.21        0.98        8.25       0.484        0.01
       11.87         0.9        9.19       0.525       0.019
       11.65        0.85        8.91       0.524       0.018
       11.16        0.89        9.31       0.592       0.025
       21.09        0.98        7.91       0.534        0.01
        11.7        0.65        8.03        0.43       0.003
        14.9        0.66        6.97         0.6       0.001
       17.05        0.78        6.34       0.413       0.004
       21.52        0.49        5.07       0.038       0.004
       14.03        0.69        6.13       0.202       0.005
       14.59        0.99        8.48       0.592       0.002
       18.54        0.78        6.58       0.455       0.001
       10.46        0.69        8.06       0.452       0.015
       23.35        0.52        4.36      -0.064       0.009
       14.56        0.64        8.28       0.569       0.014
       14.25        0.83        8.14       0.593       0.011
       19.73        0.49        5.25       0.101       0.002
       10.29        0.99        8.19       0.443       0.015
       30.82        0.94        9.33       1.119       0.002
        25.2        0.83         7.1       0.497       0.005
       16.73        0.59        7.72       0.491       0.015
       10.12        0.73        7.19       0.463       0.001
       11.12        0.94        9.06       0.541       0.002
       28.58        0.83        7.51       0.617       0.003
       36.33        0.87         9.4       1.107       0.006
       10.76        0.87        8.03        0.42        0.02
       10.93        0.93        9.26        0.62       0.022
        14.7        0.67        6.61       0.533       0.004
       17.66        0.67        8.14       0.625       0.013
        11.4        0.58        7.42       0.465       0.007
       12.89        0.62        6.91       0.314       0.001
       24.56        0.93        9.43         0.9       0.015
       12.76        0.95        9.72       0.599       0.038
        10.8        0.85        8.03       0.451       0.015
       10.38        0.56        6.54       0.109       0.005
       12.14        0.75        8.32       0.581       0.004
       12.72        0.69        8.32       0.554       0.013
       14.65        0.98        7.89       0.453       0.015
       12.66        0.53        6.61       0.088       0.007
       15.86        0.85        9.34       0.712       0.002
       11.56        0.65        7.84       0.435       0.011
       22.18         0.8        7.22        0.51       0.001
       11.31        0.74        8.33       0.827       0.015
       10.91        0.75        8.53        0.56       0.014
       12.92        0.67        7.57        0.56           0
       21.25        0.58        6.79       0.534       0.006
       56.32        0.68        5.47       0.592       0.007
        48.6         0.6        5.64       0.521       0.003
       14.53         0.6        7.73       0.501        0.01
       17.44        0.74        6.77       0.529       0.004
       10.84        0.82           8       0.504        0.01
       17.58        0.75         8.5       0.636       0.015
       12.17        0.85        7.34       0.354        0.01
       12.87        0.97        8.61       0.676       0.015
       20.51        0.68        7.84       0.595       0.011
       12.84        0.94        7.26       0.435       0.003
       15.41        0.92        8.69       0.577       0.017
       20.26        0.77        8.78       0.722       0.018
       23.43        0.95         8.3       0.763       0.002
       14.03        0.97        8.27       0.544       0.015
       12.15        0.91        7.62         0.5       0.001
       10.83        0.66        8.25       0.605       0.013
       17.14        0.77        8.86       0.812       0.002
       15.06        0.79        8.91       0.754       0.025
       10.35        0.88        8.86       0.573       0.023
       24.52        0.53        7.16       0.551       0.007
       13.15        0.85        8.71       0.614       0.016
       45.74        0.55        2.86        0.29       0.012
       14.65        0.82        7.91        0.57       0.001
       46.15        0.64        6.15       0.624       0.005
       18.45        0.61        7.86       0.533       0.015
       10.22        0.94        8.32       0.445       0.015
       45.56        0.91        9.71       1.257        0.02
       13.28        0.77        7.23       0.448       0.015
       11.29        0.91        7.54        0.48       0.009
       19.56        0.58        7.38       0.758       0.004
       17.67        0.53        7.16       0.545       0.016
       24.94        0.93        9.44       1.027       0.002
        32.1        0.76         6.6       0.689       0.008
       11.31        0.95        7.84       0.435       0.001
       17.26        0.92        7.95       0.622       0.004
       13.42        0.98        7.71       0.409       0.001
       10.24        0.69        8.12       0.555       0.012
       18.57        0.95        8.82       0.666       0.016
       10.14        0.84        9.28       0.543       0.024
       10.72        0.78        6.21       0.163       0.005
       16.17        0.77        8.75       0.717       0.017
        16.5        0.57        7.17       0.437       0.015
       18.83        0.58        7.51       0.534       0.001
       19.82        0.52        6.73       0.441       0.006
       20.94        0.88        7.16       0.452       0.007
       11.34        0.62        7.62       0.536       0.015
       11.25        0.94        8.51       0.427        0.01
       22.23        0.64        6.91        0.65       0.004
       12.72        0.68        8.38       0.605       0.014
       16.61        0.82        8.01       0.498       0.001
       73.07        0.91        7.38       0.889       0.015
       17.42        0.73         3.6      -0.104       0.009
       12.39        0.82        8.09       0.441       0.008
       18.11        0.99        8.35       0.711       0.016
          24        0.75        5.65       0.489       0.004
       21.31        0.91         7.5       0.667        0.01
       15.34        0.61        7.72       0.581       0.001
       41.33        0.73        5.11       0.544       0.022
       25.39        0.62        7.33       0.629       0.009
       21.97        0.87        9.25       0.817       0.027
       15.15         0.8        5.76       0.087       0.004
